,clicked_item_id,clicked_counts,impressed_item_ids,ipression_count,CTR
49738,920327.0,1,920327,914,0.0010940919037199124
139826,6338080.0,1,6338080,907,0.0011025358324145535
44389,634266.0,1,634266,903,0.0011074197120708748
108943,3223133.0,1,3223133,899,0.0011123470522803114
52657,967099.0,1,967099,845,0.001183431952662722
139907,6361592.0,1,6361592,842,0.0011876484560570072
119093,4060868.0,1,4060868,833,0.0012004801920768306
85616,2155068.0,1,2155068,783,0.001277139208173691
81737,1997203.0,1,1997203,777,0.001287001287001287
70471,1485095.0,1,1485095,774,0.0012919896640826874
